pdf_name,rectangle,khasra_number
112_CLU_ST-2340,39,17/2/4/2 min
112_CLU_ST-2340,,17/2/5/2 min
112_CLU_ST-2340,,'18/2/2
112_CLU_ST-2340,,'23/1
112_CLU_ST-2340,,24/1/1 min
114_CLU_ST-2326,64,'13/2/1
126_CLU_ST-1535 (Addl.),85,8/2 min
126_CLU_ST-1535 (Addl.),,9/2 min
126_CLU_ST-1535 (Addl.),,10/2 min
126_CLU_ST-1535 (Addl.),,11 min
126_CLU_ST-1535 (Addl.),,12
126_CLU_ST-1535 (Addl.),,13
126_CLU_ST-1535 (Addl.),,14
126_CLU_ST-1535 (Addl.),,'17/1
126_CLU_ST-1535 (Addl.),,'18/1
126_CLU_ST-1535 (Addl.),,'18/2
126_CLU_ST-1535 (Addl.),,23
126_CLU_ST-1535 (Addl.),,24
126_CLU_ST-1535 (Addl.),91,'3/1/1
126_CLU_ST-1535 (Addl.),,4
159_CLU_ST-2343,17,17/3 min
169_CLU_PL-1807A,21,2
184_CLU_JR-985,143,'15/2/2
184_CLU_JR-985,,'16/1/1
184_CLU_JR-985,,'25/1
184_CLU_JR-985,,'25/2
184_CLU_JR-985,144,11
184_CLU_JR-985,,12
184_CLU_JR-985,,19
184_CLU_JR-985,,20
184_CLU_JR-985,,21
184_CLU_JR-985,144,22 min
184_CLU_JR-985,153,1
184_CLU_JR-985,,2 min
184_CLU_JR-985,,10
184_CLU_JR-985,,11 min
184_CLU_JR-985,,20 min
184_CLU_JR-985,154,5
1_CLU_GN-1199,29,15/1(part)
1_CLU_GN-1199,,15/24(part)
1_CLU_GN-1224,84,'22/2
1_CLU_GN-1224,,'23/1
1_CLU_GN-1224,,'23/2
1_CLU_GN-1224,,24
